#separator:tab
#notetype:Basic
#deck:SEFAZ SC::Trilha 2 - Governanca-Projetos-Engenharia::Engenharia-Arquitetura-Software
#tags column:3
Quando um requisito é Não Funcional em vez de Funcional?	"Não Funcional descreve uma restrição/qualidade do sistema (desempenho, segurança, usabilidade, disponibilidade) — Funcional descreve o que o sistema deve FAZER (uma funcionalidade específica, ex: ""o sistema deve permitir login"")."	engenharia-arquitetura-software requisitos
Quando usar Arquitetura em Camadas em vez de Arquitetura Cliente-Servidor pura?	Arquitetura em Camadas organiza responsabilidades dentro de UM sistema (apresentação, negócio, dados) pra separar preocupações e facilitar manutenção — Cliente-Servidor é sobre a distribuição física entre dois papéis de rede (quem pede, quem responde), um conceito ortogonal que pode existir dentro ou fora de uma arquitetura em camadas.	engenharia-arquitetura-software arquitetura
Quando usar Microsserviços em vez de uma Arquitetura Monolítica?	Microsserviços quando é preciso escalar/implantar partes do sistema independentemente e times diferentes cuidam de partes diferentes — o custo é mais complexidade operacional (comunicação de rede, consistência distribuída) que um monólito não tem.	engenharia-arquitetura-software arquitetura-distribuida
Quando um defeito de software é classificado como Falha em vez de Erro?	Falha é o comportamento incorreto OBSERVADO durante a execução (o sistema se comportou errado) — Erro é a ação humana que introduziu o defeito no código (Defeito/Bug é a manifestação estática no código-fonte que, ao ser executada, pode causar a Falha).	engenharia-arquitetura-software qualidade
Quando usar Verificação em vez de Validação num processo de qualidade?	"Verificação responde ""estamos construindo o produto CORRETAMENTE?"" (conformidade com a especificação) — Validação responde ""estamos construindo o produto CERTO?"" (atende à necessidade real do usuário)."	engenharia-arquitetura-software qualidade
Quando usar um Teste Duplo (Test Double) do tipo Mock em vez de um Stub?	"Mock quando é preciso VERIFICAR se uma interação específica ocorreu (ex: ""o método X foi chamado uma vez com este parâmetro"") — Stub só fornece respostas pré-programadas pra permitir que o teste rode, sem verificar como foi chamado."	engenharia-arquitetura-software testes
Quando usar Git Rebase em vez de Git Merge pra integrar mudanças de uma branch?	Rebase quando se quer um histórico linear (reescreve os commits da branch como se tivessem sido feitos a partir do estado mais recente) — Merge preserva o histórico real, incluindo o ponto de divergência, criando um commit de merge.	engenharia-arquitetura-software git-devops
Quando uma API REST usa o método HTTP PATCH em vez de PUT?	PATCH quando só uma parte do recurso precisa ser atualizada (atualização parcial) — PUT substitui o recurso inteiro pela nova representação enviada.	engenharia-arquitetura-software rest
Quando usar SOA (Service-Oriented Architecture) em vez de uma API REST simples?	SOA é um estilo arquitetural mais amplo, frequentemente usando um ESB (Enterprise Service Bus) pra orquestrar/mediar serviços heterogêneos numa empresa inteira — REST é um estilo mais leve, ponto-a-ponto, usado tipicamente entre um número menor de sistemas ou numa arquitetura de microsserviços.	engenharia-arquitetura-software soa
Quando usar Herança em vez de Composição em POO?	"Herança quando existe uma relação genuína ""é um"" (um Cachorro É UM Animal) e o comportamento da superclasse deve ser reutilizado/especializado — Composição (""tem um"") é preferível quando a relação é de posse/uso, evitando o acoplamento forte e a fragilidade que herança profunda pode causar."	engenharia-arquitetura-software poo
Quando a Integração de Dados e Interoperabilidade (DAMA) prioriza consistência física em vez de virtual?	Consistência física é obtida ao efetivamente mover/consolidar os dados num repositório único (ex: um Data Warehouse) — consistência virtual mantém os dados nas fontes originais mas garante que consultas os apresentem de forma consistente (ex: uma camada de virtualização/federação).	engenharia-arquitetura-software integracao
