#separator:tab
#notetype:Basic
#deck:SEFAZ SC::Trilha 1 - Dados::Estatistica-CD-ML
#tags column:3
Quando usar a Mediana em vez da Média como medida de tendência central?	Quando a distribuição tem outliers ou é muito assimétrica — a mediana não é afetada por valores extremos, a média sim.	estatistica-cd-ml descritiva
Quando um parâmetro estatístico é diferente de um estimador?	Parâmetro é sempre uma constante da população (ex: média populacional μ), nunca varia. Estimador é calculado a partir de uma amostra e varia de amostra pra amostra (é uma variável aleatória) — a diferença entre os dois é o erro amostral.	estatistica-cd-ml inferencia
Quando usar Amostragem por Conveniência em vez de Amostragem Aleatória Simples?	Amostragem por Conveniência é não probabilística — usa resultados de fácil acesso, sem garantir representatividade; usada quando não há tempo/recurso pra uma amostragem probabilística real. Nunca é preferível quando o objetivo é inferência estatística rigorosa.	estatistica-cd-ml inferencia amostragem
Quando usar a Distribuição de Poisson em vez da Binomial?	Poisson quando se conta o número de ocorrências de um evento raro num intervalo contínuo (tempo/espaço), sem um número fixo de tentativas — Binomial exige um número fixo de tentativas (n) com probabilidade de sucesso constante (p) em cada uma.	estatistica-cd-ml probabilidade
Quando usar a Distribuição Geométrica em vez da Binomial?	Geométrica modela o número de tentativas até o PRIMEIRO sucesso — Binomial modela o número de sucessos num número FIXO de tentativas.	estatistica-cd-ml probabilidade
Quando usar a Distribuição Hipergeométrica em vez da Binomial?	Hipergeométrica quando a amostragem é SEM reposição (a probabilidade de sucesso muda a cada tentativa, população finita) — Binomial assume reposição (probabilidade constante entre tentativas).	estatistica-cd-ml probabilidade
Quando usar a distribuição T de Student em vez da Normal para um teste de hipótese sobre a média?	Quando o desvio padrão populacional é desconhecido e a amostra é pequena — a T de Student tem caudas mais pesadas pra compensar essa incerteza extra; com amostra grande ou desvio padrão populacional conhecido, usa-se a Normal.	estatistica-cd-ml probabilidade
Quando um dado é um Outlier em Análise Exploratória de Dados?	Quando diverge muito do padrão geral da amostra — pode indicar variabilidade real, erro de medição ou uma novidade genuína; não deve ser descartado automaticamente sem investigar a causa.	estatistica-cd-ml aed
Quando uma variável é medida em escala Ordinal em vez de Nominal?	Ordinal quando existe uma relação de ordem entre as categorias (ex: baixo/médio/alto) — Nominal só distingue categorias sem nenhuma ordem possível (ex: cor dos olhos).	estatistica-cd-ml aed
Quando fazer Seleção de Atributos (feature selection) em vez de Engenharia de Atributos (feature engineering)?	Seleção de Atributos escolhe um subconjunto dos atributos já existentes, descartando os irrelevantes/redundantes — Engenharia de Atributos cria atributos NOVOS a partir dos existentes (combinações, transformações) pra melhorar o modelo.	estatistica-cd-ml ciclo-de-vida
Quando usar Aprendizado Supervisionado em vez de Não Supervisionado?	Supervisionado quando os dados de treino já têm rótulo/resposta conhecida (classificação/regressão) — Não Supervisionado quando não há rótulo e o objetivo é encontrar estrutura nos dados por conta própria (clustering).	estatistica-cd-ml ml
Quando usar Classificação em vez de Regressão num problema de Aprendizado Supervisionado?	Classificação quando a variável a prever é categórica/discreta (ex: spam ou não spam) — Regressão quando é contínua/numérica (ex: preço de um imóvel).	estatistica-cd-ml ml
Quando usar Random Forest em vez de uma única Árvore de Decisão?	Random Forest (ensemble de várias árvores, com bagging) reduz o overfitting e a variância que uma única árvore de decisão tende a ter — ao custo de menos interpretabilidade.	estatistica-cd-ml ml arvores
Quando um modelo está em Overfitting em vez de Underfitting?	Overfitting é quando o modelo decora os dados de treino (alta acurácia no treino, baixa em dados novos) — Underfitting é quando o modelo é simples demais e erra até nos dados de treino (baixa acurácia nos dois).	estatistica-cd-ml ml
Quando usar KNN (K-Nearest Neighbors) em vez de uma Árvore de Decisão?	KNN classifica um ponto novo pela distância aos vizinhos mais próximos (baseado em distância, sem treinar um modelo explícito) — Árvore de Decisão aprende regras explícitas de divisão dos dados durante o treino.	estatistica-cd-ml ml distancia
